season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
3,9,Daily Active Users,19 Jun. 2016,8.2,1383,"Shocking stats are revealed and prompt Richard to bridge the gap between Pied Piper and its users, but Jared must go to extremes to keep everything intact. Meanwhile, Gavin tries to recapture his former glory by bringing in new talent after discovering secrets about the competition."
3,10,The Uptick,26 Jun. 2016,8.6,1509,"Pied Piper's future is hazy, but Erlich's industry profile begins to rise, creating a moral dilemma for Richard as Dinesh's new app starts to catch on. Meanwhile, Laurie makes plans for her exit; and Gavin's pompous personality haunts his comeback at Hooli."
4,1,Success Failure,23 Apr. 2017,8.1,1548,The guys struggle to find funding for Pied Piper's video chat app to keep up with their rapidly growing user base. Erlich faces resistance from Big Head's father. Jack steps on Gavin's toes at Hooli. Richard gets sage advice.
4,2,Terms of Service,30 Apr. 2017,8.5,1503,Richard butts heads with Dinesh; Erlich makes a play to be involved in Jian-Yang's new app; Jared sets ground rules in his friendship with Richard; Gavin's paranoia over Jack's enthusiasm causes him to make a rash decision.
4,3,Intellectual Property,7 May 2017,8.5,1414,Dinesh gets back to the ground while Richard continues to explore his new project. Gavin tries to come out of the new problem he has gotten himself into.
4,4,Teambuilding Exercise,14 May 2017,8.1,1298,"The SeeFood demo is being prepared, and Big Head's professorship is proving beneficial to his students."
4,5,The Blood Boy,21 May 2017,8.0,1291,Cracks in Richard's latest partnership become more apparent when he has to deal with an unexpected interloper; Dinesh scrambles to find a way out of his new relationship; Monica learns of surprising developments at Raviga.
4,6,Customer Service,28 May 2017,7.9,1266,The guys struggle for funding to launch the latest iteration of Pied Piper. Erlich seeks to join the new VC firm formed by Laurie and Monica. Dinesh and Gilfoyle clash over the alpha build.
4,7,The Patent Troll,4 Jun. 2017,7.9,1236,Richard takes on a patent troll; Gilfoyle battles a smart fridge; Jared embraces multiple identities; Erlich tries to spend time with a new crowd.
4,8,The Keenan Vortex,11 Jun. 2017,8.0,1227,"Richard ponders a deal with the tech world's latest ""it"" boy; Jack faces setbacks."
4,9,Hooli-Con,18 Jun. 2017,8.4,1288,The Pied Piper guys try to pull off a stealth plan at Hooli-Con.
4,10,Server Error,25 Jun. 2017,8.4,1416,Richard finds himself in a web of lies; Jared plans his exit; Jack bets big; Gavin plots a comeback.
5,1,Grow Fast or Die Slow,25 Mar. 2018,7.9,1466,The pressure to get things right stymies Richard and forces him to grow the company in a way he hadn't planned; Dinesh and Gilfoyle question their ability to make good choices; Gavin returns to Hooli and worries about becoming antiquated.
5,2,Reorientation,1 Apr. 2018,7.7,1362,Richard manages a number of conflicts in his efforts to unite his new employees; Dinesh celebrates a new purchase that Gilfoyle looks to spoil; Jian-Yang goes to court; Gavin meets pushback over his signature and what it says about him.
5,3,Chief Operating Officer,8 Apr. 2018,8.2,1344,"The COO of a world class company asks to move to Pied Piper. At the same time, Richard deals with a lawsuit from the smart fridge company that Gilfoyle hacked."
5,4,Tech Evangelist,15 Apr. 2018,7.6,1277,"Attempting to woo a gaming company to PiperNet, Richard inadvertently angers a prized ally; Dinesh deals with a betrayal; Gavin leaves his underlings with a cryptic message; Jared gets inside information from Big Head."
5,5,Facial Recognition,22 Apr. 2018,8.0,1293,"Overshadowed by Jared in an on-camera interview, Richard's confidence wavers further when Laurie and Monica force him to work with Eklow, a new artificial-intelligence company; Gavin questions his future beyond Hooli."
5,6,Artificial Emotional Intelligence,29 Apr. 2018,7.7,1207,"Richard decides to help when Laurie gets in a jam, but his lack of emotional discipline threatens to backfire on Pied Piper; Gavin tries to make a deal with a stubborn partner; Dinesh relishes a win; Jared bonds with a surprising figure."
5,7,Initial Coin Offering,6 May 2018,7.9,1188,"As Pied Piper prepares to close on their Series B funding, Richard receives some unsettling news; Gilfoyle suggests a proposition; Monica is blunt with Richard; Dinesh competes with a co-worker; Gavin tries to charm small-town America."
5,8,Fifty-One Percent,13 May 2018,9.1,2128,"PiperNet launches, but an early success makes Monica suspicious; Richard makes a surprising move; the team races against the clock as its future is threatened."
6,1,Artificial Lack of Intelligence,27 Oct. 2019,8.1,1418,Richard discovers his promise that Pied Piper won't collect user data is under threat; Jared longs for the past; Gilfoyle gets creative in dealing with Dinesh.
6,2,Blood Money,3 Nov. 2019,8.0,1255,Richard meets a potential investor; Gilfoyle butts heads with HR; Gavin explores a leaner Hooli's future.
6,3,Hooli Smokes!,10 Nov. 2019,8.4,1240,The Pied Piper team races to close a major deal; Dinesh considers being a better person; an angry Jared reluctantly helps Richard.
6,4,Maximizing Alphaness,17 Nov. 2019,7.4,1191,Richard's authority is threatened by his former Hooli manager; Monica tries to prove her support of other women; Gavin sets his sights on the literary world.
6,5,Tethics,24 Nov. 2019,7.7,1135,Richard fumes at Gavin's new ethical stance; Dinesh's trip turns into a nightmare; Gilfoyle and Monica work on their peer review scores.
6,6,RussFest,1 Dec. 2019,8.5,1349,A major event puts PiperNet's capabilities to the test; Monica confronts Jian-Yang over his use of Pied Piper's name.
6,7,Exit Event,8 Dec. 2019,8.6,2758,Richard and the Pied Piper team look to pull off a spectacular feat on the day of a big launch.
